Advertiser,Agency
AT&T,72andSunny
AT&T,AKQA
AT&T,Alma
AT&T,Arc
AT&T,BBDO
AT&T,BBH
AT&T,Carat
AT&T,Cheil
AT&T,Critical Mass
AT&T,DDB
AT&T,Dentsu
AT&T,Digitas
AT&T,Droga5
AT&T,Epsilon
AT&T,Essence
AT&T,FCB
AT&T,Grey
AT&T,GroupM
AT&T,GSD&M
AT&T,Havas
AT&T,IPG
AT&T,Kantar
AT&T,Leo Burnett
AT&T,MCI
AT&T,MEC
AT&T,Mediabrands
AT&T,MediaCom
AT&T,MediaVest
AT&T,MullenLowe
AT&T,Ogilvy
AT&T,OMD
AT&T,Omnicom
AT&T,Publicis
AT&T,Razorfish
AT&T,Saatchi & Saatchi
AT&T,Shift
AT&T,Starcom
AT&T,Tag
AT&T,TBWA
AT&T,UM
AT&T,Wavemaker
AT&T,Wieden & Kennedy
AT&T,WPP
AT&T,Wunderman
AT&T,Young & Rubicam
AT&T,ZenithOptimedia
Bell Canada,IPG
Bell Canada,Leo Burnett
Bell Canada,MCI
Boeing,BBDO
Boeing,Droga5
Boeing,FCB
Boeing,Fitch
Boeing,IPG
Boeing,J. Walter Thompson
Boeing,McGarryBowen
Boeing,MullenLowe
Boeing,Omnicom
Boeing,Razorfish
Boeing,TBWA
Boeing,WPP
CenturyLink,GroupM
CenturyLink,Kantar
Citrix,Epsilon
Citrix,Kantar
Facebook,72andSunny
Facebook,Adaptly
Facebook,AKQA
Facebook,Alma
Facebook,Arc
Facebook,BBDO
Facebook,BBH
Facebook,Burson-Marsteller
Facebook,Carat
Facebook,Cheil
Facebook,Critical Mass
Facebook,DDB
Facebook,Dentsu
Facebook,Digitas
Facebook,Droga5
Facebook,Epsilon
Facebook,Essence
Facebook,FCB
Facebook,Fitch
Facebook,Grey
Facebook,GroupM
Facebook,GSD&M
Facebook,Havas
Facebook,Horizon
Facebook,IPG
Facebook,Isobar
Facebook,Kantar
Facebook,Ketchum
Facebook,Leo Burnett
Facebook,McGarryBowen
Facebook,MDC
Facebook,MEC
Facebook,Mediabrands
Facebook,MediaCom
Facebook,MediaVest
Facebook,MightyHive
Facebook,MullenLowe
Facebook,Ogilvy
Facebook,OMD
Facebook,Omnicom
Facebook,Publicis
Facebook,RAPP
Facebook,Razorfish
Facebook,Saatchi & Saatchi
Facebook,Sandbox
Facebook,Shift
Facebook,Starcom
Facebook,Tag
Facebook,TBWA
Facebook,The Martin Agency
Facebook,UM
Facebook,Visual IQ
Facebook,VML
Facebook,Wieden & Kennedy
Facebook,WPP
Facebook,Wunderman
Facebook,ZenithOptimedia
Google,72andSunny
Google,Adaptly
Google,AKQA
Google,Alma
Google,Arc
Google,BBDO
Google,BBH
Google,Burson-Marsteller
Google,Carat
Google,Cheil
Google,Critical Mass
Google,DDB
Google,Dentsu
Google,Digitas
Google,Droga5
Google,Epsilon
Google,Essence
Google,FCB
Google,Fitch
Google,Grey
Google,GroupM
Google,GSD&M
Google,Havas
Google,Horizon
Google,IPG
Google,Isobar
Google,J. Walter Thompson
Google,Kantar
Google,Ketchum
Google,Leo Burnett
Google,McGarryBowen
Google,MDC
Google,MEC
Google,Mediabrands
Google,MediaCom
Google,MediaVest
Google,MightyHive
Google,MullenLowe
Google,Ogilvy
Google,OMD
Google,Omnicom
Google,Publicis
Google,RAPP
Google,Razorfish
Google,Rokkan
Google,Saatchi & Saatchi
Google,Sandbox
Google,Shift
Google,Starcom
Google,Tag
Google,TBWA
Google,The Martin Agency
Google,UM
Google,Visual IQ
Google,VML
Google,Wavemaker
Google,Wieden & Kennedy
Google,WPP
Google,Wunderman
Google,ZenithOptimedia
Huawei,BBH
Huawei,Burson-Marsteller
Huawei,DDB
Huawei,Droga5
Huawei,FCB
Huawei,Havas
Huawei,Isobar
Huawei,Kantar
Huawei,Leo Burnett
Huawei,MediaCom
Huawei,Ogilvy
Huawei,OMD
Huawei,Omnicom
Huawei,Publicis
Huawei,Saatchi & Saatchi
Huawei,TBWA
Huawei,Wavemaker
Huawei,WPP
IBM,72andSunny
IBM,AKQA
IBM,BBDO
IBM,BBH
IBM,Carat
IBM,DDB
IBM,Dentsu
IBM,Digitas
IBM,Droga5
IBM,Epsilon
IBM,FCB
IBM,Grey
IBM,GroupM
IBM,GSD&M
IBM,Hakuhodo
IBM,Havas
IBM,Horizon
IBM,IPG
IBM,Isobar
IBM,J. Walter Thompson
IBM,Kantar
IBM,Ketchum
IBM,Leo Burnett
IBM,MCI
IBM,MDC
IBM,MEC
IBM,Mediabrands
IBM,MediaCom
IBM,MullenLowe
IBM,Ogilvy
IBM,OMD
IBM,Omnicom
IBM,Publicis
IBM,RAPP
IBM,Razorfish
IBM,Saatchi & Saatchi
IBM,Sandbox
IBM,Shift
IBM,Starcom
IBM,Tag
IBM,TBWA
IBM,UM
IBM,Visual IQ
IBM,VML
IBM,WPP
IBM,Wunderman
IBM,Young & Rubicam
IBM,Zeta Global
Intel,72andSunny
Intel,AKQA
Intel,Arc
Intel,BBDO
Intel,Carat
Intel,DDB
Intel,Dentsu
Intel,Digitas
Intel,Essence
Intel,Grey
Intel,GroupM
Intel,Havas
Intel,Horizon
Intel,IPG
Intel,J. Walter Thompson
Intel,Kantar
Intel,Ketchum
Intel,Leo Burnett
Intel,McGarryBowen
Intel,MCI
Intel,MDC
Intel,Mediabrands
Intel,MediaCom
Intel,MediaVest
Intel,Ogilvy
Intel,OMD
Intel,Omnicom
Intel,Publicis
Intel,RAPP
Intel,Razorfish
Intel,Saatchi & Saatchi
Intel,Tag
Intel,TBWA
Intel,UM
Intel,VML
Intel,Wieden & Kennedy
Intel,WPP
Intel,Wunderman
Intel,Young & Rubicam
Intel,ZenithOptimedia
Lenovo,BBDO
Lenovo,Dentsu
Lenovo,Digitas
Lenovo,Droga5
Lenovo,Fitch
Lenovo,GroupM
Lenovo,Havas
Lenovo,IPG
Lenovo,Kantar
Lenovo,MDC
Lenovo,MullenLowe
Lenovo,Ogilvy
Lenovo,Omnicom
Lenovo,Publicis
Lenovo,Razorfish
Lenovo,Saatchi & Saatchi
Lenovo,Starcom
Lenovo,WPP
Lenovo,Young & Rubicam
Liberty Global,Carat
Liberty Global,Horizon
Liberty Global,OMD
Liberty Global,Omnicom
Liberty Global,Wieden & Kennedy
Microsoft,72andSunny
Microsoft,AKQA
Microsoft,Arc
Microsoft,BBDO
Microsoft,BBH
Microsoft,Burson-Marsteller
Microsoft,Carat
Microsoft,Cheil
Microsoft,DDB
Microsoft,Dentsu
Microsoft,Digitas
Microsoft,Droga5
Microsoft,Epsilon
Microsoft,Essence
Microsoft,FCB
Microsoft,Grey
Microsoft,GroupM
Microsoft,GSD&M
Microsoft,Hakuhodo
Microsoft,Havas
Microsoft,Horizon
Microsoft,IPG
Microsoft,Isobar
Microsoft,J. Walter Thompson
Microsoft,Kantar
Microsoft,Ketchum
Microsoft,Leo Burnett
Microsoft,McGarryBowen
Microsoft,MCI
Microsoft,MDC
Microsoft,MEC
Microsoft,Mediabrands
Microsoft,MediaCom
Microsoft,MediaVest
Microsoft,Momentum Worldwide
Microsoft,Ogilvy
Microsoft,OMD
Microsoft,Omnicom
Microsoft,Publicis
Microsoft,Razorfish
